gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G000022905,1.4404378931195083e-05,0.025423728813559324,442,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium aurimucosum,t__,0.002342259407114633,0.00026512961938405383,0.020361017691330162
G000308255,1.4404378931195083e-05,0.0423728813559322,1929,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__Anaerococcus pacaensis,t__,0.002342259407114633,0.00026512961938405383,0.020361017691330162
G001853345,1.4404378931195083e-05,0.03389830508474576,9379,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas haloaromaticamans,t__,0.002342259407114633,0.00026512961938405383,0.020361017691330162
G000381365,1.5604743842128007e-05,0.025423728813559324,2558,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides salyersiae,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G000247715,1.5604743842128007e-05,0.0423728813559322,1566,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Gordoniaceae,g__Gordonia,s__Gordonia polyisoprenivorans,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G000455385,1.5604743842128007e-05,0.0211864406779661,3404,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas alcaligenes,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G000308295,1.5604743842128007e-05,0.0211864406779661,1931,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Afipia,s__Afipia birgiae,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G001643095,1.5604743842128007e-05,0.03389830508474576,7573,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,s__Methylobacterium populi,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G000803065,1.5604743842128007e-05,0.038135593220338986,4874,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas sp. ERG5,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G001543285,1.5604743842128007e-05,0.0211864406779661,7100,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Aerococcus,s__Aerococcus viridans,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G000420605,1.5604743842128007e-05,0.03389830508474576,2836,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium massiliense,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G000154505,1.5604743842128007e-05,0.038135593220338986,740,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnoclostridium,s__[Clostridium] scindens,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G001898335,1.5604743842128007e-05,0.046610169491525424,9618,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter,s__Mucilaginibacter sp. 44-25,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G000010145,1.5604743842128007e-05,0.025423728813559324,96,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus fermentum,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G000379905,1.5604743842128007e-05,0.0423728813559322,2526,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Rodentibacter,s__Rodentibacter pneumotropicus,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G900120165,1.5604743842128007e-05,0.029661016949152543,10451,k__Bacteria,p__Firmicutes,c__Tissierellia,o__,f__,g__Ezakiella,s__Ezakiella massiliensis,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G000155915,1.5604743842128007e-05,0.025423728813559324,763,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus jensenii,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G001758345,1.5604743842128007e-05,0.029661016949152543,7885,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter towneri,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G000758905,1.5604743842128007e-05,0.05508474576271186,4684,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales Family XIII. Incertae Sedis,g__,s__Clostridiales bacterium S5-A14a,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G000803625,1.5604743842128007e-05,0.0423728813559322,4876,k__Bacteria,p__Candidatus Saccharibacteria,c__,o__,f__,g__,s__Candidatus Saccharibacteria oral taxon TM7x,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G000007465,1.5604743842128007e-05,0.025423728813559324,25,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus mutans,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G000622245,1.5604743842128007e-05,0.046610169491525424,4035,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__Fusobacterium perfoetens,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G001281465,1.5604743842128007e-05,0.025423728813559324,6144,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Cupriavidus,s__Cupriavidus gilardii,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G000568555,1.5604743842128007e-05,0.046610169491525424,3849,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__Mesorhizobium sp. NBIMC_P2-C3,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G000379985,1.5604743842128007e-05,0.046610169491525424,2530,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus caballi,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G000221565,1.5604743842128007e-05,0.046610169491525424,1329,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus sp. oral taxon 375,t__,0.0025372269342736065,0.0003059528800247024,0.020703884028274194
G000966835,1.680510875306093e-05,0.03389830508474576,5171,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus fermentum,t__,0.0027321605208352473,0.00034903020479146694,0.021044429507127385
G001878775,1.680510875306093e-05,0.0423728813559322,9557,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter sp. AR2-3,t__,0.0027321605208352473,0.00034903020479146694,0.021044429507127385
G000009205,1.680510875306093e-05,0.046610169491525424,75,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Clostridioides,s__Clostridioides difficile,t__,0.0027321605208352473,0.00034903020479146694,0.021044429507127385
G000020605,1.680510875306093e-05,0.03389830508474576,385,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__,s__[Eubacterium] rectale,t__,0.0027321605208352473,0.00034903020479146694,0.021044429507127385
G000784965,1.680510875306093e-05,0.05084745762711865,4817,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,g__Pantoea,s__Pantoea sp. PSNIH2,t__,0.0027321605208352473,0.00034903020479146694,0.021044429507127385
G000014825,1.680510875306093e-05,0.03389830508474576,237,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Rhodopseudomonas,s__Rhodopseudomonas palustris,t__,0.0027321605208352473,0.00034903020479146694,0.021044429507127385
G000436135,1.680510875306093e-05,0.029661016949152543,3291,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides dorei CAG:222,t__,0.0027321605208352473,0.00034903020479146694,0.021044429507127385
G000321025,1.680510875306093e-05,0.046610169491525424,2087,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus senegalensis,t__,0.0027321605208352473,0.00034903020479146694,0.021044429507127385
G000187895,1.680510875306093e-05,0.05508474576271186,1072,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides plebeius,t__,0.0027321605208352473,0.00034903020479146694,0.021044429507127385
G000312505,1.680510875306093e-05,0.046610169491525424,1995,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__Fenollaria,s__Fenollaria massiliensis,t__,0.0027321605208352473,0.00034903020479146694,0.021044429507127385
G001598535,1.680510875306093e-05,0.0211864406779661,7375,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__Sphingobium herbicidovorans,t__,0.0027321605208352473,0.00034903020479146694,0.021044429507127385
G900128475,1.680510875306093e-05,0.05084745762711865,10455,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Mediterranea,s__Mediterranea massiliensis,t__,0.0027321605208352473,0.00034903020479146694,0.021044429507127385
G000426605,1.680510875306093e-05,0.03389830508474576,3035,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Propionibacterium,s__Propionibacterium acidifaciens,t__,0.0027321605208352473,0.00034903020479146694,0.021044429507127385
G000720925,1.680510875306093e-05,0.03389830508474576,4366,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Phycicoccus,s__Phycicoccus jejuensis,t__,0.0027321605208352473,0.00034903020479146694,0.021044429507127385
G000701345,1.8005473663993856e-05,0.025423728813559324,4201,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium sp. URHD0069,t__,0.0029270601715086775,0.00039426430453189283,0.021382751426309583
G000429265,1.8005473663993856e-05,0.046610169491525424,3104,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces gerencseriae,t__,0.0029270601715086775,0.00039426430453189283,0.021382751426309583
G000312325,1.8005473663993856e-05,0.0423728813559322,1988,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales Family XIII. Incertae Sedis,g__Casaltella,s__Casaltella massiliensis,t__,0.0029270601715086775,0.00039426430453189283,0.021382751426309583
G000364625,1.8005473663993856e-05,0.029661016949152543,2331,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas thermotolerans,t__,0.0029270601715086775,0.00039426430453189283,0.021382751426309583
G000159235,1.8005473663993856e-05,0.025423728813559324,815,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Atopobium,s__Atopobium vaginae,t__,0.0029270601715086775,0.00039426430453189283,0.021382751426309583
G000445145,1.8005473663993856e-05,0.025423728813559324,3377,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__Sphingobium baderi,t__,0.0029270601715086775,0.00039426430453189283,0.021382751426309583
G000219275,1.9205838574926776e-05,0.05084745762711865,1304,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter lwoffii,t__,0.003121925891002908,0.0004415646444491002,0.021718940329884837
G001708485,1.9205838574926776e-05,0.0423728813559322,7777,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas fluorescens,t__,0.003121925891002908,0.0004415646444491002,0.021718940329884837
G001428865,1.9205838574926776e-05,0.025423728813559324,6559,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas sp. Root241,t__,0.003121925891002908,0.0004415646444491002,0.021718940329884837
G000379925,1.9205838574926776e-05,0.05084745762711865,2527,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas levii,t__,0.003121925891002908,0.0004415646444491002,0.021718940329884837
G000235885,1.9205838574926776e-05,0.038135593220338986,1440,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella stercorea,t__,0.003121925891002908,0.0004415646444491002,0.021718940329884837
G001297905,1.9205838574926776e-05,0.046610169491525424,6190,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus fermentum,t__,0.003121925891002908,0.0004415646444491002,0.021718940329884837
G000227315,1.9205838574926776e-05,0.05508474576271186,1373,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus indolicus,t__,0.003121925891002908,0.0004415646444491002,0.021718940329884837
G000735515,1.9205838574926776e-05,0.05084745762711865,4451,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Leclercia,s__Leclercia adecarboxylata,t__,0.003121925891002908,0.0004415646444491002,0.021718940329884837
G001902575,1.9205838574926776e-05,0.025423728813559324,9641,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Streptobacillus,s__Streptobacillus notomytis,t__,0.003121925891002908,0.0004415646444491002,0.021718940329884837
G000160655,1.9205838574926776e-05,0.05084745762711865,835,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cardiobacteriales,f__Cardiobacteriaceae,g__Cardiobacterium,s__Cardiobacterium hominis,t__,0.003121925891002908,0.0004415646444491002,0.021718940329884837
G001028545,1.9205838574926776e-05,0.038135593220338986,5869,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema endosymbiont of Eucomonympha sp.,t__,0.003121925891002908,0.0004415646444491002,0.021718940329884837
G000315485,1.9205838574926776e-05,0.0635593220338983,2027,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides oleiciplenus,t__,0.003121925891002908,0.0004415646444491002,0.021718940329884837
G001646665,1.9205838574926776e-05,0.05084745762711865,7591,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces albulus,t__,0.003121925891002908,0.0004415646444491002,0.021718940329884837
G000349585,1.9205838574926776e-05,0.025423728813559324,2304,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Dietziaceae,g__Dietzia,s__Dietzia sp. UCD-THP,t__,0.003121925891002908,0.0004415646444491002,0.021718940329884837
G000813765,1.9205838574926776e-05,0.03389830508474576,4903,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,s__Brevundimonas nasdae,t__,0.003121925891002908,0.0004415646444491002,0.021718940329884837
G000786195,2.04062034858597e-05,0.025423728813559324,4827,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Kocuria,s__Kocuria polaris,t__,0.0033167576840015256,0.0004908468046360605,0.02205308064697732
G001630765,2.04062034858597e-05,0.029661016949152543,7540,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Dietziaceae,g__Dietzia,s__Dietzia maris,t__,0.0033167576840015256,0.0004908468046360605,0.02205308064697732
G001605965,2.04062034858597e-05,0.05084745762711865,7441,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas koreensis,t__,0.0033167576840015256,0.0004908468046360605,0.02205308064697732
G000188035,2.04062034858597e-05,0.059322033898305086,1076,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus pseudoporcinus,t__,0.0033167576840015256,0.0004908468046360605,0.02205308064697732
G001275135,2.04062034858597e-05,0.059322033898305086,6106,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. 109,t__,0.0033167576840015256,0.0004908468046360605,0.02205308064697732
G000248015,2.04062034858597e-05,0.046610169491525424,1569,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Atlantibacter,s__Atlantibacter hermannii,t__,0.0033167576840015256,0.0004908468046360605,0.02205308064697732
G001898505,2.04062034858597e-05,0.038135593220338986,9622,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__,g__,s__Sphingobacteriales bacterium 50-39,t__,0.0033167576840015256,0.0004908468046360605,0.02205308064697732
G000156435,2.04062034858597e-05,0.03389830508474576,775,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces ghanaensis,t__,0.0033167576840015256,0.0004908468046360605,0.02205308064697732
G000468535,2.04062034858597e-05,0.0423728813559322,3441,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus sp. ChDC B134,t__,0.0033167576840015256,0.0004908468046360605,0.02205308064697732
G900091655,2.04062034858597e-05,0.05508474576271186,10070,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Culturomica,s__Culturomica massiliensis,t__,0.0033167576840015256,0.0004908468046360605,0.02205308064697732
G000026745,2.04062034858597e-05,0.05508474576271186,555,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus suis,t__,0.0033167576840015256,0.0004908468046360605,0.02205308064697732
G000953275,2.04062034858597e-05,0.0635593220338983,5098,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Clostridioides,s__Clostridioides difficile,t__,0.0033167576840015256,0.0004908468046360605,0.02205308064697732
G000406785,2.1606568396792625e-05,0.0423728813559322,2744,k__Bacteria,p__Chloroflexi,c__,o__,f__,g__,s__Chloroflexi bacterium oral taxon 439,t__,0.0035115555552647226,0.000542031916461851,0.022385251255585867
G000973085,2.1606568396792625e-05,0.046610169491525424,5252,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Sneathia,s__Sneathia amnii,t__,0.0035115555552647226,0.000542031916461851,0.022385251255585867
G000287655,2.1606568396792625e-05,0.05508474576271186,1794,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__Selenomonas sp. FOBRC9,t__,0.0035115555552647226,0.000542031916461851,0.022385251255585867
G001586165,2.1606568396792625e-05,0.05084745762711865,7313,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Hafniaceae,g__Obesumbacterium,s__Obesumbacterium proteus,t__,0.0035115555552647226,0.000542031916461851,0.022385251255585867
G001049775,2.1606568396792625e-05,0.03389830508474576,5941,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Atopobium,s__Atopobium vaginae,t__,0.0035115555552647226,0.000542031916461851,0.022385251255585867
G000758845,2.1606568396792625e-05,0.059322033898305086,4683,k__Bacteria,p__Firmicutes,c__Tissierellia,o__,f__,g__,s__Tissierellia bacterium S7-1-4,t__,0.0035115555552647226,0.000542031916461851,0.022385251255585867
G000739375,2.1606568396792625e-05,0.05084745762711865,4480,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Comamonas,s__Comamonas testosteroni,t__,0.0035115555552647226,0.000542031916461851,0.022385251255585867
G000187125,2.1606568396792625e-05,0.06779661016949153,1069,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__Selenomonas artemidis,t__,0.0035115555552647226,0.000542031916461851,0.022385251255585867
G000516535,2.1606568396792625e-05,0.038135593220338986,3713,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,s__Leptotrichia goodfellowii,t__,0.0035115555552647226,0.000542031916461851,0.022385251255585867
G000262245,2.1606568396792625e-05,0.07203389830508475,1646,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Pasteurella,s__Pasteurella bettyae,t__,0.0035115555552647226,0.000542031916461851,0.022385251255585867
G001705225,2.1606568396792625e-05,0.059322033898305086,7763,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas xanthomarina,t__,0.0035115555552647226,0.000542031916461851,0.022385251255585867
G000311865,2.280693330772555e-05,0.05508474576271186,1972,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus obesi,t__,0.003706319509475864,0.0005950461640044716,0.022715525980849173
G001552935,2.280693330772555e-05,0.025423728813559324,7137,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__,g__,s__Coriobacteriales bacterium DNF00809,t__,0.003706319509475864,0.0005950461640044716,0.022715525980849173
G000797445,2.280693330772555e-05,0.0423728813559322,4842,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Lacinutrix,s__Lacinutrix jangbogonensis,t__,0.003706319509475864,0.0005950461640044716,0.022715525980849173
G001275345,2.280693330772555e-05,0.03389830508474576,6107,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Kocuria,s__Kocuria palustris,t__,0.003706319509475864,0.0005950461640044716,0.022715525980849173
G000738775,2.280693330772555e-05,0.07203389830508475,4476,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus,s__Rhodococcus defluvii,t__,0.003706319509475864,0.0005950461640044716,0.022715525980849173
G001476195,2.280693330772555e-05,0.03389830508474576,6892,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Kocuria,s__Kocuria kristinae,t__,0.003706319509475864,0.0005950461640044716,0.022715525980849173
G000012825,2.280693330772555e-05,0.046610169491525424,172,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides vulgatus,t__,0.003706319509475864,0.0005950461640044716,0.022715525980849173
G001642875,2.280693330772555e-05,0.038135593220338986,7570,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,g__,s__Planctomycetaceae bacterium FC18,t__,0.003706319509475864,0.0005950461640044716,0.022715525980849173
G000226955,2.4007298218658473e-05,0.03389830508474576,1370,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas elodea,t__,0.003901049551342073,0.0006498203416939498,0.023043974037600678
G001941785,2.4007298218658473e-05,0.03389830508474576,9820,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus fermentum,t__,0.003901049551342073,0.0006498203416939498,0.023043974037600678
G000311745,2.4007298218658473e-05,0.05508474576271186,1967,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__Anaerococcus obesiensis,t__,0.003901049551342073,0.0006498203416939498,0.023043974037600678
G001596135,2.4007298218658473e-05,0.03389830508474576,7366,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter,s__Mucilaginibacter sp. PAMC 26640,t__,0.003901049551342073,0.0006498203416939498,0.023043974037600678
G900111525,2.4007298218658473e-05,0.0635593220338983,10318,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. kh1p2,t__,0.003901049551342073,0.0006498203416939498,0.023043974037600678
G000179055,2.4007298218658473e-05,0.05084745762711865,1002,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella bryantii,t__,0.003901049551342073,0.0006498203416939498,0.023043974037600678
G000154845,2.4007298218658473e-05,0.07627118644067797,748,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides coprocola,t__,0.003901049551342073,0.0006498203416939498,0.023043974037600678
G000195775,2.4007298218658473e-05,0.03389830508474576,1149,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Rhodopseudomonas,s__Rhodopseudomonas palustris,t__,0.003901049551342073,0.0006498203416939498,0.023043974037600678
G000426745,2.4007298218658473e-05,0.029661016949152543,3042,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella montpellierensis,t__,0.003901049551342073,0.0006498203416939498,0.023043974037600678
G001292585,2.4007298218658473e-05,0.0423728813559322,6160,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,g__Candidatus Magnetomorum,s__Candidatus Magnetomorum sp. HK-1,t__,0.003901049551342073,0.0006498203416939498,0.023043974037600678
G000379525,2.4007298218658473e-05,0.05508474576271186,2512,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Lamprocystis,s__Lamprocystis purpurea,t__,0.003901049551342073,0.0006498203416939498,0.023043974037600678
