gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G000434095,5.088392649453362e-06,0.20833333333333334,3238,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides fragilis CAG:47,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G000414465,5.088392649453362e-06,0.25,2786,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Gardnerella,s__Gardnerella vaginalis,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G000424185,5.088392649453362e-06,0.25,2964,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. AGR2160,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G000296465,5.088392649453362e-06,0.20833333333333334,1816,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Barnesiella,s__Barnesiella intestinihominis,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G000824785,5.088392649453362e-06,0.20833333333333334,4958,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__Mesorhizobium plurifarium,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G000308755,5.088392649453362e-06,0.20833333333333334,1944,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Nocardia,s__Nocardia pneumoniae,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G000445445,5.088392649453362e-06,0.25,3380,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Sporomusaceae,g__Sporomusa,s__Sporomusa ovata,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G000478965,5.088392649453362e-06,0.25,3514,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Megasphaera,s__Megasphaera sp. BV3C16-1,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G000751295,5.815305885089556e-06,0.20833333333333334,4624,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium YEK0313,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G000772915,5.815305885089556e-06,0.25,4802,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus phocae,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G000204645,5.815305885089556e-06,0.20833333333333334,1210,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Alicycliphilus,s__Alicycliphilus denitrificans,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G000725175,5.815305885089556e-06,0.25,4400,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Orbales,f__Orbaceae,g__Gilliamella,s__Gilliamella apicola,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G000165505,5.815305885089556e-06,0.25,873,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Ilyobacter,s__Ilyobacter polytropus,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G900120375,5.815305885089556e-06,0.20833333333333334,10453,k__Bacteria,p__Firmicutes,c__,o__,f__,g__Ndongobacter,s__Ndongobacter massiliensis,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G000429845,5.815305885089556e-06,0.20833333333333334,3128,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Comamonas,s__Comamonas composti,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G000007945,5.815305885089556e-06,0.20833333333333334,43,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__[Haemophilus] ducreyi,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G000428705,5.815305885089556e-06,0.20833333333333334,3080,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Acholeplasmatales,f__Acholeplasmataceae,g__Acholeplasma,s__Acholeplasma axanthum,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G000427365,5.815305885089556e-06,0.25,3051,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Rikenella,s__Rikenella microfusus,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G000091565,5.815305885089556e-06,0.20833333333333334,594,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,g__Erwinia,s__Erwinia amylovora,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G000153905,5.815305885089556e-06,0.20833333333333334,726,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__Blautia obeum,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G001652405,5.815305885089556e-06,0.25,7604,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Bibersteinia,s__Bibersteinia trehalosi,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G000380005,5.815305885089556e-06,0.25,2531,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus didelphis,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G000159035,5.815305885089556e-06,0.20833333333333334,808,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces urogenitalis,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G000159055,5.815305885089556e-06,0.20833333333333334,809,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__Clostridium sp. M62/1,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G000374585,5.815305885089556e-06,0.2916666666666667,2421,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides barnesiae,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G000374405,5.815305885089556e-06,0.2916666666666667,2414,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Riemerella,s__Riemerella columbina,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G000147695,5.815305885089556e-06,0.2916666666666667,671,k__Bacteria,p__Firmicutes,c__Clostridia,o__Thermoanaerobacterales,f__Thermoanaerobacteraceae,g__Thermoanaerobacter,s__Thermoanaerobacter wiegelii,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G000259175,5.815305885089556e-06,0.20833333333333334,1628,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,g__Providencia,s__Providencia stuartii,t__,0.026746790099918316,0.0034132080528234965,0.18067573565154327
G001468885,6.54221912072575e-06,0.25,6879,k__Bacteria,p__,c__,o__,f__,g__,s__candidate division TM6 bacterium UASB293,t__,0.030047707901613818,0.004193689649892529,0.1855861934374212
G001915655,6.54221912072575e-06,0.2916666666666667,9677,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Odoribacter,s__Odoribacter sp. 43_10,t__,0.030047707901613818,0.004193689649892529,0.1855861934374212
G001902585,6.54221912072575e-06,0.25,9642,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Streptobacillus,s__Streptobacillus notomytis,t__,0.030047707901613818,0.004193689649892529,0.1855861934374212
G000599985,6.54221912072575e-06,0.20833333333333334,3908,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Orbales,f__Orbaceae,g__Gilliamella,s__Gilliamella apicola,t__,0.030047707901613818,0.004193689649892529,0.1855861934374212
G000154845,6.54221912072575e-06,0.20833333333333334,748,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides coprocola,t__,0.030047707901613818,0.004193689649892529,0.1855861934374212
G000317245,6.54221912072575e-06,0.20833333333333334,2050,k__Bacteria,p__Cyanobacteria,c__,o__Nostocales,f__Hapalosiphonaceae,g__Fischerella,s__Fischerella muscicola,t__,0.030047707901613818,0.004193689649892529,0.1855861934374212
G001407835,6.54221912072575e-06,0.20833333333333334,6396,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Lagierella,s__Lagierella massiliensis,t__,0.030047707901613818,0.004193689649892529,0.1855861934374212
G000772295,6.54221912072575e-06,0.20833333333333334,4798,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Gallibacterium,s__Gallibacterium anatis,t__,0.030047707901613818,0.004193689649892529,0.1855861934374212
G900101835,6.54221912072575e-06,0.20833333333333334,10141,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Peptococcus,s__Peptococcus niger,t__,0.030047707901613818,0.004193689649892529,0.1855861934374212
G000754275,6.54221912072575e-06,0.25,4644,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Pasteurella,s__Pasteurella multocida,t__,0.030047707901613818,0.004193689649892529,0.1855861934374212
G001405615,6.54221912072575e-06,0.20833333333333334,6391,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__Roseburia faecis,t__,0.030047707901613818,0.004193689649892529,0.1855861934374212
G000435955,6.54221912072575e-06,0.25,3285,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__,s__Erysipelotrichaceae bacterium CAG:64,t__,0.030047707901613818,0.004193689649892529,0.1855861934374212
G000800955,7.2691323563619444e-06,0.2916666666666667,4863,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Kocuria,s__Kocuria sp. ZOR0020,t__,0.033339251807133374,0.005031663086508806,0.19042299834063475
G000380045,7.2691323563619444e-06,0.20833333333333334,2533,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus marimammalium,t__,0.033339251807133374,0.005031663086508806,0.19042299834063475
G001639025,7.2691323563619444e-06,0.20833333333333334,7562,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium afermentans,t__Corynebacterium afermentans subsp. afermentans,0.033339251807133374,0.005031663086508806,0.19042299834063475
G000171615,7.2691323563619444e-06,0.20833333333333334,922,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus coahuilensis,t__,0.033339251807133374,0.005031663086508806,0.19042299834063475
G000772395,7.2691323563619444e-06,0.2916666666666667,4800,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Gallibacterium,s__Gallibacterium anatis,t__,0.033339251807133374,0.005031663086508806,0.19042299834063475
G001471555,7.2691323563619444e-06,0.25,6889,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus capitis,t__,0.033339251807133374,0.005031663086508806,0.19042299834063475
G000769115,7.2691323563619444e-06,0.20833333333333334,4780,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas canoris,t__,0.033339251807133374,0.005031663086508806,0.19042299834063475
G000307915,7.2691323563619444e-06,0.20833333333333334,1924,k__Bacteria,p__Cyanobacteria,c__,o__Oscillatoriales,f__Microcoleaceae,g__Arthrospira,s__Arthrospira platensis,t__,0.033339251807133374,0.005031663086508806,0.19042299834063475
G000160875,7.2691323563619444e-06,0.20833333333333334,840,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus iners,t__,0.033339251807133374,0.005031663086508806,0.19042299834063475
G000155955,7.2691323563619444e-06,0.20833333333333334,764,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Mitsuokella,s__Mitsuokella multacida,t__,0.033339251807133374,0.005031663086508806,0.19042299834063475
G000954135,7.2691323563619444e-06,0.25,5111,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Ralstonia,s__Ralstonia mannitolilytica,t__,0.033339251807133374,0.005031663086508806,0.19042299834063475
G000512915,7.2691323563619444e-06,0.25,3689,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Barnesiella,s__Barnesiella viscericola,t__,0.033339251807133374,0.005031663086508806,0.19042299834063475
G000424205,7.2691323563619444e-06,0.20833333333333334,2965,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__Clostridium cadaveris,t__,0.033339251807133374,0.005031663086508806,0.19042299834063475
G000585355,7.2691323563619444e-06,0.20833333333333334,3882,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella oryzae,t__,0.033339251807133374,0.005031663086508806,0.19042299834063475
G000414445,7.2691323563619444e-06,0.2916666666666667,2785,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Gardnerella,s__Gardnerella vaginalis,t__,0.033339251807133374,0.005031663086508806,0.19042299834063475
G000179715,7.99604559199814e-06,0.2916666666666667,1012,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Atopobium,s__Atopobium vaginae,t__,0.036621438476586166,0.005922860363547583,0.19519044708312971
G000221545,7.99604559199814e-06,0.25,1328,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Megasphaera,s__Megasphaera sp. UPII 135-E,t__,0.036621438476586166,0.005922860363547583,0.19519044708312971
G000496735,7.99604559199814e-06,0.20833333333333334,3591,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methyloglobulus,s__Methyloglobulus morosus,t__,0.036621438476586166,0.005922860363547583,0.19519044708312971
G000401515,7.99604559199814e-06,0.20833333333333334,2687,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Piscirickettsiaceae,g__Piscirickettsia,s__Piscirickettsia salmonis,t__,0.036621438476586166,0.005922860363547583,0.19519044708312971
G000220835,7.99604559199814e-06,0.2916666666666667,1324,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces sp. oral taxon 448,t__,0.036621438476586166,0.005922860363547583,0.19519044708312971
G900103375,7.99604559199814e-06,0.2916666666666667,10171,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas balearica,t__,0.036621438476586166,0.005922860363547583,0.19519044708312971
G000429105,7.99604559199814e-06,0.20833333333333334,3098,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces suimastitidis,t__,0.036621438476586166,0.005922860363547583,0.19519044708312971
G000310185,7.99604559199814e-06,0.25,1964,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Thauera,s__Thauera aminoaromatica,t__,0.036621438476586166,0.005922860363547583,0.19519044708312971
G000431915,7.99604559199814e-06,0.375,3188,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. CAG:386,t__,0.036621438476586166,0.005922860363547583,0.19519044708312971
G000479045,7.99604559199814e-06,0.25,3516,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Cetobacterium,s__Cetobacterium somerae,t__,0.036621438476586166,0.005922860363547583,0.19519044708312971
G000513215,7.99604559199814e-06,0.25,3694,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,g__Serratia,s__Serratia marcescens,t__Serratia marcescens subsp. marcescens,0.036621438476586166,0.005922860363547583,0.19519044708312971
G000347595,7.99604559199814e-06,0.2916666666666667,2286,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Bibersteinia,s__Bibersteinia trehalosi,t__,0.036621438476586166,0.005922860363547583,0.19519044708312971
G000381365,7.99604559199814e-06,0.2916666666666667,2558,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides salyersiae,t__,0.036621438476586166,0.005922860363547583,0.19519044708312971
G000368025,7.99604559199814e-06,0.20833333333333334,2339,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter parvus,t__,0.036621438476586166,0.005922860363547583,0.19519044708312971
G001736055,8.722958827634334e-06,0.20833333333333334,7841,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia psittaci,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G001408335,8.722958827634334e-06,0.2916666666666667,6397,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Kocuria,s__Kocuria salsicia,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G001318345,8.722958827634334e-06,0.20833333333333334,6347,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides cellulosilyticus,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G900120415,8.722958827634334e-06,0.20833333333333334,10454,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Tissierellaceae,g__Urmitella,s__Urmitella timonensis,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G000621185,8.722958827634334e-06,0.25,4005,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Franconibacter,s__Franconibacter pulveris,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G000209675,8.722958827634334e-06,0.25,1220,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Gallibacterium,s__Gallibacterium anatis,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G000025205,8.722958827634334e-06,0.25,520,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Gardnerella,s__Gardnerella vaginalis,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G000157975,8.722958827634334e-06,0.20833333333333334,787,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__Blautia hydrogenotrophica,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G000245655,8.722958827634334e-06,0.25,1547,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G000406785,8.722958827634334e-06,0.20833333333333334,2744,k__Bacteria,p__Chloroflexi,c__,o__,f__,g__,s__Chloroflexi bacterium oral taxon 439,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G001559795,8.722958827634334e-06,0.375,7153,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Streptobacillus,s__Streptobacillus hongkongensis,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G001493375,8.722958827634334e-06,0.25,6938,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces specialis,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G000024105,8.722958827634334e-06,0.20833333333333334,478,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__Anaerococcus prevotii,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G001447195,8.722958827634334e-06,0.20833333333333334,6775,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__,g__Aquabacterium,s__Aquabacterium parvum,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G000190575,8.722958827634334e-06,0.4166666666666667,1097,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides salanitronis,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G000214335,8.722958827634334e-06,0.20833333333333334,1260,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas sp. KC8,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G001299475,8.722958827634334e-06,0.20833333333333334,6199,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__Neofamilia,s__Neofamilia massiliensis,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G001310795,8.722958827634334e-06,0.2916666666666667,6279,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Diaphorobacter,s__Diaphorobacter nitroreducens,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G001281115,8.722958827634334e-06,0.3333333333333333,6140,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Arthrobacter,s__Arthrobacter sp. LS16,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G000238095,8.722958827634334e-06,0.3333333333333333,1463,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Peptoanaerobacter,s__Peptoanaerobacter stomatis,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G000228805,8.722958827634334e-06,0.25,1389,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus mutans,t__,0.03989428459711819,0.00686348045478917,0.19989236946055972
G000205165,9.449872063270528e-06,0.2916666666666667,1213,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Paraprevotella,s__Paraprevotella xylaniphila,t__,0.04315780689270965,0.007850120165298652,0.20453219750079735
G000010425,9.449872063270528e-06,0.20833333333333334,105,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium adolescentis,t__,0.04315780689270965,0.007850120165298652,0.20453219750079735
G000195635,9.449872063270528e-06,0.2916666666666667,1145,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides fluxus,t__,0.04315780689270965,0.007850120165298652,0.20453219750079735
G000828635,9.449872063270528e-06,0.2916666666666667,4982,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Sulfuritalea,s__Sulfuritalea hydrogenivorans,t__,0.04315780689270965,0.007850120165298652,0.20453219750079735
G000023145,9.449872063270528e-06,0.25,448,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium kroppenstedtii,t__,0.04315780689270965,0.007850120165298652,0.20453219750079735
G001854105,9.449872063270528e-06,0.20833333333333334,9380,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus fermentum,t__,0.04315780689270965,0.007850120165298652,0.20453219750079735
G000315485,1.0176785298906724e-05,0.2916666666666667,2027,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides oleiciplenus,t__,0.046412022117994,0.008879717661482836,0.20911302192322134
G000311985,1.0176785298906724e-05,0.25,1975,k__Bacteria,p__Firmicutes,c__Tissierellia,o__,f__,g__Kallipyga,s__Kallipyga massiliensis,t__,0.046412022117994,0.008879717661482836,0.20911302192322134
G000375405,1.0176785298906724e-05,0.375,2429,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides propionicifaciens,t__,0.046412022117994,0.008879717661482836,0.20911302192322134
G000022305,1.0176785298906724e-05,0.25,427,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax ebreus,t__,0.046412022117994,0.008879717661482836,0.20911302192322134
G000372425,1.0176785298906724e-05,0.3333333333333333,2368,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus ferus,t__,0.046412022117994,0.008879717661482836,0.20911302192322134
G000436035,1.0176785298906724e-05,0.3333333333333333,3287,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. CAG:732,t__,0.046412022117994,0.008879717661482836,0.20911302192322134
G000803105,1.0176785298906724e-05,0.25,4875,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Coprobacter,s__Coprobacter secundus,t__,0.046412022117994,0.008879717661482836,0.20911302192322134
G000156435,1.0903698534542918e-05,0.2916666666666667,775,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces ghanaensis,t__,0.0496569470464866,0.009949505941065542,0.2136376386484466
G000807275,1.0903698534542918e-05,0.25,4885,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Orbales,f__Orbaceae,g__Frischella,s__Frischella perrara,t__,0.0496569470464866,0.009949505941065542,0.2136376386484466
G000235885,1.0903698534542918e-05,0.2916666666666667,1440,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella stercorea,t__,0.0496569470464866,0.009949505941065542,0.2136376386484466
G900119705,1.0903698534542918e-05,0.3333333333333333,10447,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Murdochiella,s__Murdochiella sp. Marseille-P2341,t__,0.0496569470464866,0.009949505941065542,0.2136376386484466
G000213825,1.0903698534542918e-05,0.2916666666666667,1251,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus parauberis,t__,0.0496569470464866,0.009949505941065542,0.2136376386484466
