gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G000187125,1.4404378931195083e-05,0.03389830508474576,1069,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__Selenomonas artemidis,t__,0.0023910374484928942,0.00027512532905912303,0.020447015541916712
G001310795,1.4404378931195083e-05,0.0423728813559322,6279,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Diaphorobacter,s__Diaphorobacter nitroreducens,t__,0.0023910374484928942,0.00027512532905912303,0.020447015541916712
G000023845,1.4404378931195083e-05,0.038135593220338986,466,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Eggerthellales,f__Eggerthellaceae,g__Cryptobacterium,s__Cryptobacterium curtum,t__,0.0023910374484928942,0.00027512532905912303,0.020447015541916712
G000349585,1.4404378931195083e-05,0.025423728813559324,2304,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Dietziaceae,g__Dietzia,s__Dietzia sp. UCD-THP,t__,0.0023910374484928942,0.00027512532905912303,0.020447015541916712
G001500315,1.4404378931195083e-05,0.0211864406779661,6948,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus auricularis,t__,0.0023910374484928942,0.00027512532905912303,0.020447015541916712
G001425835,1.4404378931195083e-05,0.03389830508474576,6513,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Afipia,s__Afipia sp. Root123D2,t__,0.0023910374484928942,0.00027512532905912303,0.020447015541916712
G000426605,1.4404378931195083e-05,0.0423728813559322,3035,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Propionibacterium,s__Propionibacterium acidifaciens,t__,0.0023910374484928942,0.00027512532905912303,0.020447015541916712
G000026745,1.4404378931195083e-05,0.046610169491525424,555,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus suis,t__,0.0023910374484928942,0.00027512532905912303,0.020447015541916712
G001597285,1.5604743842128007e-05,0.0211864406779661,7368,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas alcaligenes,t__,0.0025900609032916133,0.00031740916964511506,0.020796403229376356
G000154505,1.5604743842128007e-05,0.03389830508474576,740,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnoclostridium,s__[Clostridium] scindens,t__,0.0025900609032916133,0.00031740916964511506,0.020796403229376356
G000455385,1.5604743842128007e-05,0.0211864406779661,3404,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas alcaligenes,t__,0.0025900609032916133,0.00031740916964511506,0.020796403229376356
G001458315,1.5604743842128007e-05,0.029661016949152543,6805,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Thalassobacter,s__Thalassobacter stenotrophicus,t__,0.0025900609032916133,0.00031740916964511506,0.020796403229376356
G000164865,1.5604743842128007e-05,0.0423728813559322,868,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Enterobacter,s__Enterobacter lignolyticus,t__,0.0025900609032916133,0.00031740916964511506,0.020796403229376356
G000312325,1.5604743842128007e-05,0.0423728813559322,1988,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales Family XIII. Incertae Sedis,g__Casaltella,s__Casaltella massiliensis,t__,0.0025900609032916133,0.00031740916964511506,0.020796403229376356
G000758905,1.5604743842128007e-05,0.05084745762711865,4684,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales Family XIII. Incertae Sedis,g__,s__Clostridiales bacterium S5-A14a,t__,0.0025900609032916133,0.00031740916964511506,0.020796403229376356
G000935025,1.5604743842128007e-05,0.025423728813559324,5059,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas hengshuiensis,t__,0.0025900609032916133,0.00031740916964511506,0.020796403229376356
G000468535,1.5604743842128007e-05,0.038135593220338986,3441,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus sp. ChDC B134,t__,0.0025900609032916133,0.00031740916964511506,0.020796403229376356
G900091655,1.5604743842128007e-05,0.046610169491525424,10070,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Culturomica,s__Culturomica massiliensis,t__,0.0025900609032916133,0.00031740916964511506,0.020796403229376356
G001915655,1.680510875306093e-05,0.0423728813559322,9677,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Odoribacter,s__Odoribacter sp. 43_10,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G000786205,1.680510875306093e-05,0.029661016949152543,4828,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas sp. 37zxx,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G000758845,1.680510875306093e-05,0.046610169491525424,4683,k__Bacteria,p__Firmicutes,c__Tissierellia,o__,f__,g__,s__Tissierellia bacterium S7-1-4,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G001758345,1.680510875306093e-05,0.025423728813559324,7885,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter towneri,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G000634855,1.680510875306093e-05,0.0211864406779661,4064,k__Bacteria,p__Cyanobacteria,c__,o__Synechococcales,f__Prochloraceae,g__Prochlorococcus,s__Prochlorococcus sp. scB243_495N4,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G001276605,1.680510875306093e-05,0.0423728813559322,6111,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae,g__Achromatium,s__Achromatium sp. WMS2,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G001049775,1.680510875306093e-05,0.025423728813559324,5941,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Atopobium,s__Atopobium vaginae,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G000022905,1.680510875306093e-05,0.038135593220338986,442,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium aurimucosum,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G000157915,1.680510875306093e-05,0.029661016949152543,784,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides coprophilus,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G000715495,1.680510875306093e-05,0.038135593220338986,4321,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,s__Hymenobacter sp. IS2118,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G000379185,1.680510875306093e-05,0.038135593220338986,2503,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga cynodegmi,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G000020605,1.680510875306093e-05,0.029661016949152543,385,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__,s__[Eubacterium] rectale,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G000979675,1.680510875306093e-05,0.038135593220338986,5279,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina mazei,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G000317975,1.680510875306093e-05,0.0211864406779661,2071,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Carnobacterium,s__Carnobacterium maltaromaticum,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G001468395,1.680510875306093e-05,0.03389830508474576,6874,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingopyxis,s__Sphingopyxis sp. H073,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G001543285,1.680510875306093e-05,0.025423728813559324,7100,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Aerococcus,s__Aerococcus viridans,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G000219275,1.680510875306093e-05,0.05084745762711865,1304,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter lwoffii,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G000215745,1.680510875306093e-05,0.0211864406779661,1278,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__[Enterobacter] aerogenes,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G001028605,1.680510875306093e-05,0.038135593220338986,5871,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema endosymbiont of Eucomonympha sp.,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G000297495,1.680510875306093e-05,0.025423728813559324,1835,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Janibacter,s__Janibacter hoylei,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G000738775,1.680510875306093e-05,0.046610169491525424,4476,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus,s__Rhodococcus defluvii,t__,0.0027890490480915187,0.0003620138713892832,0.021143400566776605
G900111525,1.8005473663993856e-05,0.05508474576271186,10318,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. kh1p2,t__,0.0029880018878066794,0.0004088380264619645,0.021488108971617847
G000429265,1.8005473663993856e-05,0.046610169491525424,3104,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces gerencseriae,t__,0.0029880018878066794,0.0004088380264619645,0.021488108971617847
G000614585,1.8005473663993856e-05,0.05084745762711865,3949,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas gingivicanis,t__,0.0029880018878066794,0.0004088380264619645,0.021488108971617847
G001586165,1.8005473663993856e-05,0.038135593220338986,7313,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Hafniaceae,g__Obesumbacterium,s__Obesumbacterium proteus,t__,0.0029880018878066794,0.0004088380264619645,0.021488108971617847
G000445145,1.8005473663993856e-05,0.03389830508474576,3377,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__Sphingobium baderi,t__,0.0029880018878066794,0.0004088380264619645,0.021488108971617847
G000447775,1.8005473663993856e-05,0.05084745762711865,3389,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bacteriovoracaceae,g__Bacteriovorax,s__Bacteriovorax sp. DB6_IX,t__,0.0029880018878066794,0.0004088380264619645,0.021488108971617847
G000681495,1.8005473663993856e-05,0.038135593220338986,4082,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Francisellaceae,g__Francisella,s__Francisella tularensis,t__Francisella tularensis subsp. holarctica,0.0029880018878066794,0.0004088380264619645,0.021488108971617847
G000568555,1.8005473663993856e-05,0.03389830508474576,3849,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__Mesorhizobium sp. NBIMC_P2-C3,t__,0.0029880018878066794,0.0004088380264619645,0.021488108971617847
G001941785,1.8005473663993856e-05,0.03389830508474576,9820,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus fermentum,t__,0.0029880018878066794,0.0004088380264619645,0.021488108971617847
G000406785,1.8005473663993856e-05,0.03389830508474576,2744,k__Bacteria,p__Chloroflexi,c__,o__,f__,g__,s__Chloroflexi bacterium oral taxon 439,t__,0.0029880018878066794,0.0004088380264619645,0.021488108971617847
G000438035,1.8005473663993856e-05,0.029661016949152543,3341,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides vulgatus CAG:6,t__,0.0029880018878066794,0.0004088380264619645,0.021488108971617847
G000414465,1.9205838574926776e-05,0.029661016949152543,2786,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Gardnerella,s__Gardnerella vaginalis,t__,0.003186919427432544,0.00045778735107043257,0.021830622737523682
G000318135,1.9205838574926776e-05,0.046610169491525424,2075,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium durum,t__,0.003186919427432544,0.00045778735107043257,0.021830622737523682
G001421285,1.9205838574926776e-05,0.029661016949152543,6456,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas sp. Leaf11,t__,0.003186919427432544,0.00045778735107043257,0.021830622737523682
G000315485,1.9205838574926776e-05,0.059322033898305086,2027,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides oleiciplenus,t__,0.003186919427432544,0.00045778735107043257,0.021830622737523682
G000813765,1.9205838574926776e-05,0.025423728813559324,4903,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,s__Brevundimonas nasdae,t__,0.003186919427432544,0.00045778735107043257,0.021830622737523682
G000803065,1.9205838574926776e-05,0.025423728813559324,4874,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas sp. ERG5,t__,0.003186919427432544,0.00045778735107043257,0.021830622737523682
G000160835,1.9205838574926776e-05,0.03389830508474576,839,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus antri,t__,0.003186919427432544,0.00045778735107043257,0.021830622737523682
G000091125,1.9205838574926776e-05,0.029661016949152543,588,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__Sphingobium japonicum,t__,0.003186919427432544,0.00045778735107043257,0.021830622737523682
G001592855,1.9205838574926776e-05,0.0635593220338983,7349,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter sp. BMW17,t__,0.003186919427432544,0.00045778735107043257,0.021830622737523682
G001028705,1.9205838574926776e-05,0.025423728813559324,5874,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Erythrobacteraceae,g__Croceicoccus,s__Croceicoccus naphthovorans,t__,0.003186919427432544,0.00045778735107043257,0.021830622737523682
G000235885,1.9205838574926776e-05,0.0423728813559322,1440,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella stercorea,t__,0.003186919427432544,0.00045778735107043257,0.021830622737523682
G000013885,1.9205838574926776e-05,0.03389830508474576,207,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Nitrobacter,s__Nitrobacter hamburgensis,t__,0.003186919427432544,0.00045778735107043257,0.021830622737523682
G000204035,1.9205838574926776e-05,0.046610169491525424,1197,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,s__Brevundimonas diminuta,t__,0.003186919427432544,0.00045778735107043257,0.021830622737523682
G001262595,1.9205838574926776e-05,0.025423728813559324,6060,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,s__Methylobacterium sp. ARG-1,t__,0.003186919427432544,0.00045778735107043257,0.021830622737523682
G000516535,1.9205838574926776e-05,0.029661016949152543,3713,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,s__Leptotrichia goodfellowii,t__,0.003186919427432544,0.00045778735107043257,0.021830622737523682
G001941055,1.9205838574926776e-05,0.046610169491525424,9814,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__Ruminococcus sp. Zagget7,t__,0.003186919427432544,0.00045778735107043257,0.021830622737523682
G000597805,2.04062034858597e-05,0.029661016949152543,3899,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__Campylobacter corcagiensis,t__,0.0033858016719622297,0.0005087740031773889,0.022171029716357697
G000226955,2.04062034858597e-05,0.025423728813559324,1370,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas elodea,t__,0.0033858016719622297,0.0005087740031773889,0.022171029716357697
G900106785,2.04062034858597e-05,0.059322033898305086,10215,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotellamassilia,s__Prevotellamassilia timonensis,t__,0.0033858016719622297,0.0005087740031773889,0.022171029716357697
G000012825,2.04062034858597e-05,0.046610169491525424,172,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides vulgatus,t__,0.0033858016719622297,0.0005087740031773889,0.022171029716357697
G001046635,2.04062034858597e-05,0.029661016949152543,5928,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__Novosphingobium barchaimii,t__,0.0033858016719622297,0.0005087740031773889,0.022171029716357697
G000379525,2.04062034858597e-05,0.05084745762711865,2512,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Lamprocystis,s__Lamprocystis purpurea,t__,0.0033858016719622297,0.0005087740031773889,0.022171029716357697
G000479045,2.04062034858597e-05,0.0635593220338983,3516,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Cetobacterium,s__Cetobacterium somerae,t__,0.0033858016719622297,0.0005087740031773889,0.022171029716357697
G001605965,2.04062034858597e-05,0.0423728813559322,7441,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas koreensis,t__,0.0033858016719622297,0.0005087740031773889,0.022171029716357697
G000824785,2.04062034858597e-05,0.046610169491525424,4958,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__Mesorhizobium plurifarium,t__,0.0033858016719622297,0.0005087740031773889,0.022171029716357697
G000009205,2.04062034858597e-05,0.059322033898305086,75,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Clostridioides,s__Clostridioides difficile,t__,0.0033858016719622297,0.0005087740031773889,0.022171029716357697
G001262055,2.04062034858597e-05,0.03389830508474576,6057,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces meyeri,t__,0.0033858016719622297,0.0005087740031773889,0.022171029716357697
G000379905,2.1606568396792625e-05,0.046610169491525424,2526,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Rodentibacter,s__Rodentibacter pneumotropicus,t__,0.0035846486263103605,0.0005617159820225752,0.022509411918551974
G001642875,2.1606568396792625e-05,0.029661016949152543,7570,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,g__,s__Planctomycetaceae bacterium FC18,t__,0.0035846486263103605,0.0005617159820225752,0.022509411918551974
G000786195,2.1606568396792625e-05,0.029661016949152543,4827,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Kocuria,s__Kocuria polaris,t__,0.0035846486263103605,0.0005617159820225752,0.022509411918551974
G000321025,2.1606568396792625e-05,0.0635593220338983,2087,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus senegalensis,t__,0.0035846486263103605,0.0005617159820225752,0.022509411918551974
G001028585,2.1606568396792625e-05,0.059322033898305086,5870,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema endosymbiont of Eucomonympha sp.,t__,0.0035846486263103605,0.0005617159820225752,0.022509411918551974
G000287655,2.1606568396792625e-05,0.06779661016949153,1794,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__Selenomonas sp. FOBRC9,t__,0.0035846486263103605,0.0005617159820225752,0.022509411918551974
G000381365,2.1606568396792625e-05,0.029661016949152543,2558,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides salyersiae,t__,0.0035846486263103605,0.0005617159820225752,0.022509411918551974
G000311865,2.1606568396792625e-05,0.0423728813559322,1972,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus obesi,t__,0.0035846486263103605,0.0005617159820225752,0.022509411918551974
G001643095,2.1606568396792625e-05,0.025423728813559324,7573,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,s__Methylobacterium populi,t__,0.0035846486263103605,0.0005617159820225752,0.022509411918551974
G001705225,2.1606568396792625e-05,0.0635593220338983,7763,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas xanthomarina,t__,0.0035846486263103605,0.0005617159820225752,0.022509411918551974
G000184745,2.1606568396792625e-05,0.046610169491525424,1040,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Variovorax,s__Variovorax paradoxus,t__,0.0035846486263103605,0.0005617159820225752,0.022509411918551974
G001552935,2.1606568396792625e-05,0.0423728813559322,7137,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__,g__,s__Coriobacteriales bacterium DNF00809,t__,0.0035846486263103605,0.0005617159820225752,0.022509411918551974
G000025205,2.1606568396792625e-05,0.05508474576271186,520,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Gardnerella,s__Gardnerella vaginalis,t__,0.0035846486263103605,0.0005617159820225752,0.022509411918551974
G000195775,2.1606568396792625e-05,0.0423728813559322,1149,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Rhodopseudomonas,s__Rhodopseudomonas palustris,t__,0.0035846486263103605,0.0005617159820225752,0.022509411918551974
G000369145,2.1606568396792625e-05,0.038135593220338986,2349,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter lwoffii,t__,0.0035846486263103605,0.0005617159820225752,0.022509411918551974
G001553545,2.1606568396792625e-05,0.0423728813559322,7141,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga haemolytica,t__,0.0035846486263103605,0.0005617159820225752,0.022509411918551974
G000006605,2.1606568396792625e-05,0.046610169491525424,2,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium jeikeium,t__,0.0035846486263103605,0.0005617159820225752,0.022509411918551974
G000154525,2.280693330772555e-05,0.046610169491525424,741,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides stercoris,t__,0.0037834602954703866,0.0006165365978317867,0.02284584604370765
G000187895,2.280693330772555e-05,0.07203389830508475,1072,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides plebeius,t__,0.0037834602954703866,0.0006165365978317867,0.02284584604370765
G001898505,2.280693330772555e-05,0.038135593220338986,9622,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__,g__,s__Sphingobacteriales bacterium 50-39,t__,0.0037834602954703866,0.0006165365978317867,0.02284584604370765
G000024105,2.280693330772555e-05,0.059322033898305086,478,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__Anaerococcus prevotii,t__,0.0037834602954703866,0.0006165365978317867,0.02284584604370765
G000469465,2.280693330772555e-05,0.05084745762711865,3452,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__,g__Gemella,s__Gemella bergeri,t__,0.0037834602954703866,0.0006165365978317867,0.02284584604370765
G001458475,2.280693330772555e-05,0.046610169491525424,6812,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Kingella,s__Kingella kingae,t__,0.0037834602954703866,0.0006165365978317867,0.02284584604370765
G000972575,2.280693330772555e-05,0.025423728813559324,5244,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus cohnii,t__Staphylococcus cohnii subsp. cohnii,0.0037834602954703866,0.0006165365978317867,0.02284584604370765
G900128475,2.280693330772555e-05,0.06779661016949153,10455,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Mediterranea,s__Mediterranea massiliensis,t__,0.0037834602954703866,0.0006165365978317867,0.02284584604370765
